Pitch No.,Brand,Idea,Industry/Genre ,State/city ,Male/Female led Startup,Deal,Funding ,Received Funding before ,Sharks That Invested ,,,,,,
63,Bakarmax,Comics & Animation,,,,,No Deal,,,,,,,,
64,IN A CAN,Can Cocktails,,,,,Rs. 1 Crore for 10% of the Company,,X,X,X,,X,X,
65,Get a Whey,Sugar-Free Icecream,,,,,Rs. 1 Crore for 15% of the Company,,X,,,X,X,,
66,Sid07 Designs,Inventions,,,,,Rs. 25 Lakhs for 75% of the Company & 22 lakhs Debt,,,,,,,X,
67,The Quirky Nari,Customised Apparels,,,,,Rs. 35 lakhs for 24% of the Company,,,,X,X,,,
68,Hair Originals,Natural Hair Extensions,,,,,Rs. 60 Lakhs for 4% of the Company,,X,,X,,,X,
69,Poo de Cologne,Toilet Spray with Essential Oils,,,,,No Deal,,,,,,,,
70,Moonshine Meads,Meads,,,,,,,,,,,,,
71,Falhari,Fresh Fruits,,,,,,,,,,,,,
72,Namhya Foods,Ayurvedic Enriched Food,,,,,Rs. 50 lakhs for 10% of the Company & Rs. 50 lakhs Debt,,,,,,X,,
73,Urban Monkey,Streetwear,,,,,No Deal,,,,,,,,
74,Guardian Gears,Motorcycle Luggage,,,,,,,,,,,,,
75,Modern Myth,Bags,,,,,,,,,,,,,
76,The Sass Bar,Gifts,,,,,Rs. 50 lakhs for 35% of the Company,,,,X,,,,X
77,KG Agrotech,Agricultural Innovations,,,,,Rs. 10 lakhs for 40% of the Company & Rs. 20 lakhs Debt,,,,,,,X,
78,Nuskha Kitchen,Homemade Foods,,,,,No Deal,,,,,,,,
79,PawsIndia,Dog Products,,,,,Rs. 50 lakhs for 15% of the Company,,,,X,,,,
80,Sunfox Technologies,Portable ECG Device,,,,,Rs. 1 crore for 6% of the Company,,,X,X,X,,X,X
81,Alpino,Roasted Peanut Products,,,,,No Deal,,,,,,,,
82,Isak Fragrances,Perfumes,,,,,Rs. 50 lakhs for 50% of the Company,,,,,,,X,
83,Julaa Automation,Automatic Cradle,,,,,No Deal,,,,,,,,
84,Rare Planet,Handicrafts,,,,,Rs. 65 lakhs for 3% of the Company,,,X,,,,,
85,Theka Coffee,Coffee Products,,,,,No Deal,,,,,,,,
86,Watt Technovations,Ventilated PPE Kits,,,,,Rs. 101 for 4% of the Company,,,X,X,,,X,X
87,Aliste Technologies,Automation Solutions,,,,,No Deal,,,,,,,,
88,Insurance Samadhan,Insurance Solutions,,,,,Rs. 1 Crore for 4% of the Company,,,,,,,X,
